ID	Label
D1-3	Human
D1-4	AI
D1-18	AI
D1-19	AI
D1-23	Human
D1-26	Human
D1-29	AI
D1-31	AI
D1-36	Human
D1-40	Human
D1-43	AI
D1-46	AI
D1-52	Human
D1-57	AI
D1-67	Human
D1-75	AI
D1-80	Human
D1-81	AI
D1-87	AI
D1-94	Human
D1-96	Human
D1-110	Human
D1-113	AI
D1-128	Human
D1-135	AI
D1-140	Human
D1-162	Human
D1-164	Human
D1-172	Human
D1-186	AI
D1-193	Human
D1-194	AI
D1-200	Human
D1-203	AI
D1-209	AI
D1-215	Human
D1-220	AI
D1-225	Human
D1-238	Human
D1-239	AI
D1-244	Human
D1-246	Human
D1-257	AI
D1-259	AI
D1-268	Human
D1-271	Human
D1-276	AI
D1-277	Human
D1-284	AI
D1-285	Human
D1-288	Human
D1-290	Human
D1-303	Human
D1-304	AI
D1-305	Human
D1-311	AI
D1-321	AI
D1-323	AI
D1-325	AI
D1-343	AI
D1-346	AI
D1-358	AI
D1-373	Human
D1-401	AI
D1-403	AI
D1-407	Human
D1-408	AI
D1-425	AI
D1-431	AI
D1-433	AI
D1-435	AI
D1-441	AI
D1-443	AI
D1-445	AI
D1-456	Human
D1-463	AI
D1-469	AI
D1-481	AI
D1-489	AI
D1-491	AI
D1-494	Human
D1-498	Human
D1-510	Human
D1-515	AI
D1-522	Human
D1-525	Human
D1-534	Human
D1-539	AI
D1-541	AI
D1-544	Human
D1-550	Human
D1-560	AI
D1-563	Human
D1-569	Human
D1-571	Human
D1-573	Human
D1-574	AI
D1-575	Human
D1-577	Human
D1-583	Human
D1-588	AI
D1-589	Human
D1-591	Human
D1-594	AI
D1-602	Human
D1-612	AI
D1-615	Human
D1-622	AI
D1-623	Human
D1-626	AI
D1-635	Human
D1-639	Human
D1-652	Human
D1-656	Human
D1-666	Human
D1-667	AI
D1-671	AI
D1-672	Human
D1-688	Human
D1-694	Human
D1-697	AI
D1-711	AI
D1-712	Human
D1-716	Human
D1-722	Human
D1-723	AI
D1-727	Human
D1-728	AI
D1-732	Human
D1-756	Human
D1-760	Human
D1-776	Human
D1-797	AI
D1-799	AI
D1-800	Human
D1-809	AI
D1-811	AI
D1-812	Human
D1-815	AI
D1-816	Human
D1-818	Human
D1-823	AI
D1-825	AI
D1-836	AI
D1-842	AI
D1-843	Human
D1-845	AI
D1-847	AI
D1-849	AI
D1-850	Human
D1-856	AI
D1-867	Human
D1-869	Human
D1-877	Human
D1-878	Human
D1-881	AI
D1-897	Human
D1-913	Human
D1-921	AI
D1-922	Human
D1-926	Human
D1-929	AI
D1-934	Human
D1-936	Human
D1-943	Human
D1-945	Human
D1-950	Human
D1-953	AI
D1-960	AI
D1-961	Human
D1-968	AI
D1-971	Human
D1-975	Human
D1-976	AI
D1-982	AI
D1-987	Human
D1-988	AI
D1-994	AI
D1-995	Human
D1-998	AI
D1-1005	Human
D1-1013	Human
D1-1015	Human
D1-1018	AI
D1-1026	AI
D1-1034	AI
D1-1055	AI
D1-1058	Human
D1-1060	Human
D1-1067	AI
D1-1069	AI
D1-1070	Human
D1-1071	AI
D1-1074	Human
D1-1093	AI
D1-1100	Human
D1-1101	AI
D1-1102	Human
D1-1111	Human
D1-1117	Human
D1-1119	Human
D1-1124	Human
D1-1126	Human
D1-1128	Human
D1-1135	AI
D1-1156	Human
D1-1157	AI
D1-1170	AI
D1-1182	AI
D1-1183	Human
D1-1184	AI
D1-1185	Human
D1-1186	AI
D1-1187	Human
D1-1188	AI
D1-1203	Human
D1-1205	Human
D1-1207	Human
D1-1213	AI
D1-1218	Human
D1-1231	AI
D1-1232	Human
D1-1240	Human
D1-1243	AI
D1-1244	Human
D1-1259	AI
D1-1266	Human
D1-1268	Human
D1-1271	Human
D1-1273	Human
D1-1276	AI
D1-1280	Human
D1-1282	Human
D1-1285	Human
D1-1288	Human
D1-1306	Human
D1-1307	AI
D1-1315	AI
D1-1316	Human
D1-1318	Human
D1-1324	Human
D1-1325	AI
D1-1327	Human
D1-1340	Human
D1-1341	AI
D1-1343	AI
D1-1345	AI
D1-1347	AI
D1-1348	Human
D1-1353	AI
D1-1355	AI
D1-1356	Human
D1-1357	AI
D1-1359	AI
D1-1362	Human
D1-1370	Human
D1-1378	Human
D1-1383	AI
D1-1388	Human
D1-1390	Human
D1-1391	AI
D1-1410	Human
D1-1426	Human
D1-1427	AI
D1-1430	Human
D1-1431	AI
D1-1438	AI
D1-1439	Human
D1-1440	AI
D1-1462	AI
D1-1464	AI
D1-1472	AI
D1-1475	Human
D1-1486	AI
D1-1487	Human
D1-1497	Human
D1-1501	Human
D1-1506	AI
D1-1509	Human
D1-1513	Human
D1-1518	AI
D1-1521	Human
D1-1523	Human
D1-1526	AI
D1-1529	Human
D1-1537	Human
D1-1545	Human
D1-1553	AI
D1-1562	Human
D1-1563	AI
D1-1565	AI
D1-1566	Human
D1-1567	AI
D1-1572	AI
D1-1577	Human
D1-1588	Human
D1-1598	AI
D1-1604	AI
D1-1605	Human
D1-1607	Human
D1-1610	AI
D1-1615	Human
D1-1622	AI
D1-1624	AI
D1-1630	AI
D1-1633	Human
D1-1645	Human
D1-1648	Human
D1-1654	Human
D1-1656	AI
D1-1662	Human
D1-1663	AI
D1-1665	AI
D1-1669	AI
D1-1676	AI
D1-1684	AI
D1-1686	AI
D1-1701	Human
D1-1707	Human
D1-1708	AI
D1-1709	Human
D1-1720	AI
D1-1741	Human
D1-1742	AI
D1-1750	AI
D1-1753	Human
D1-1757	Human
D1-1760	AI
D1-1761	Human
D1-1765	Human
D1-1788	AI
D1-1792	AI
D1-1801	AI
D1-1802	Human
D1-1806	Human
D1-1808	AI
D1-1809	Human
D1-1822	AI
D1-1824	AI
D1-1825	Human
D1-1832	Human
D1-1834	Human
D1-1837	AI
D1-1838	Human
D1-1839	AI
D1-1843	AI
D1-1844	Human
D1-1848	Human
D1-1849	AI
D1-1856	Human
D1-1858	Human
D1-1862	Human
D1-1865	AI
D1-1868	Human
D1-1869	Human
D1-1876	AI
D1-1878	AI
D1-1887	Human
D1-1893	Human
D1-1895	Human
D1-1905	Human
D1-1910	AI
D1-1917	Human
D1-1921	Human
D1-1929	Human
D1-1931	Human
D1-1935	Human
D1-1937	Human
D1-1939	Human
D1-1941	AI
D1-1944	AI
D1-1945	Human
D1-1947	Human
D1-1965	Human
D1-1969	Human
D1-1978	Human
D1-1986	Human
D1-1991	AI
D1-1997	AI
D1-1999	AI
D1-2001	AI
D1-2002	Human
D1-2003	AI
D1-2009	AI
D1-2013	Human
D1-2030	Human
D1-2036	AI
D1-2037	Human
D1-2042	AI
D1-2055	AI
D1-2056	Human
D1-2064	Human
D1-2075	Human
D1-2077	Human
D1-2084	AI
D1-2087	Human
D1-2095	Human
D1-2097	Human
D1-2109	Human
D1-2111	Human
D1-2118	AI
D1-2123	AI
D1-2124	Human
D1-2127	AI
D1-2129	AI
D1-2134	Human
D1-2135	AI
D1-2137	AI
D1-2145	AI
D1-2152	AI
D1-2159	Human
D1-2171	Human
D1-2172	AI
D1-2186	AI
D1-2187	Human
D1-2188	AI
D1-2189	Human
D1-2191	Human
D1-2200	AI
D1-2201	Human
D1-2210	AI
D1-2216	AI
D1-2218	AI
D1-2219	Human
D1-2226	AI
D1-2240	AI
D1-2241	Human
D1-2243	Human
D1-2247	Human
D1-2250	AI
D1-2261	Human
D1-2262	AI
D1-2265	Human
D1-2270	AI
D1-2271	Human
D1-2273	Human
D1-2275	Human
D1-2287	Human
D1-2288	AI
D1-2297	Human
D1-2303	Human
D1-2307	Human
D1-2308	AI
D1-2318	Human
D1-2319	AI
D1-2320	Human
D1-2336	Human
D1-2345	AI
D1-2347	AI
D1-2353	Human
D1-2354	AI
D1-2360	AI
D1-2361	Human
D1-2362	AI
D1-2372	AI
D1-2374	AI
D1-2381	Human
D1-2385	Human
D1-2388	AI
D1-2389	Human
D1-2391	Human
D1-2395	Human
D1-2396	AI
D1-2401	Human
D1-2406	AI
D1-2407	Human
D1-2408	AI
D1-2409	Human
D1-2410	AI
D1-2418	AI
D1-2426	AI
D1-2431	Human
D1-2444	AI
D1-2451	Human
D1-2457	Human
D1-2462	AI
D1-2463	Human
D1-2469	AI
D1-2471	AI
D1-2474	Human
D1-2475	AI
D1-2482	Human
D1-2484	Human
D1-2491	AI
D1-2501	Human
D1-2505	Human
D1-2507	Human
D1-2515	Human
D1-2518	AI
D1-2521	Human
D1-2532	Human
D1-2534	Human
D1-2535	AI
D1-2541	AI
D1-2546	Human
D1-2553	Human
D1-2554	Human
D1-2557	Human
D1-2583	AI
D1-2584	Human
D1-2590	AI
D1-2591	Human
D1-2595	Human
D1-2604	Human
D1-2605	AI
D1-2609	AI
D1-2610	Human
D1-2614	Human
D1-2617	AI
D1-2621	AI
D1-2623	AI
D1-2624	Human
D1-2630	Human
D1-2632	Human
D1-2637	AI
D1-2641	AI
D1-2643	AI
D1-2644	Human
D1-2646	Human
D1-2648	Human
D1-2657	Human
D1-2660	AI
D1-2665	Human
D1-2671	Human
D1-2674	AI
D1-2675	Human
D1-2689	Human
D1-2692	AI
D1-2693	Human
D1-2698	AI
D1-2703	Human
D1-2704	AI
D1-2710	AI
D1-2711	Human
D1-2722	AI
D1-2753	AI
D1-2765	AI
D1-2768	Human
D1-2774	Human
D1-2775	AI
D1-2779	Human
D1-2786	Human
D1-2787	AI
D1-2794	Human
D1-2802	Human
D1-2811	AI
D1-2816	Human
D1-2821	AI
D1-2834	Human
D1-2836	Human
D1-2840	Human
D1-2841	AI
D1-2844	Human
D1-2846	Human
D1-2849	AI
D1-2852	Human
D1-2855	AI
D1-2859	AI
D1-2861	AI
D1-2879	Human
D1-2882	AI
D1-2894	Human
D1-2897	Human
D1-2898	AI
D1-2911	Human
D1-2913	AI
D1-2915	AI
D1-2919	AI
D1-2922	Human
D1-2926	Human
D1-2935	Human
D1-2936	AI
D1-2938	AI
D1-2940	AI
D1-2942	AI
D1-2946	AI
D1-2950	AI
D1-2972	AI
D1-2977	Human
D1-2980	AI
D1-2988	AI
D1-2993	Human
D1-2994	AI
