ID	Label
D2-1	Human
D2-8	Human
D2-10	AI
D2-14	AI
D2-19	AI
D2-20	Human
D2-28	AI
D2-29	Human
D2-32	AI
D2-33	AI
D2-34	AI
D2-35	Human
D2-36	AI
D2-38	AI
D2-40	AI
D2-43	AI
D2-44	Human
D2-45	AI
D2-47	AI
D2-48	AI
D2-50	Human
D2-51	Human
D2-56	AI
D2-57	Human
D2-58	AI
D2-59	AI
D2-60	AI
D2-62	AI
D2-65	AI
D2-66	AI
D2-68	AI
D2-71	AI
D2-72	AI
D2-74	AI
D2-75	Human
D2-76	AI
D2-79	AI
D2-81	AI
D2-83	AI
D2-84	AI
D2-86	AI
D2-87	Human
D2-89	AI
D2-91	Human
D2-93	AI
D2-94	AI
D2-96	Human
D2-97	AI
D2-98	AI
D2-99	AI
D3-1	AI
D3-2	Human
D3-3	Human
D3-4	Human
D3-5	AI
D3-6	Human
D3-7	Human
D3-8	AI
D3-9	AI
D3-10	AI
D3-11	AI
D3-12	Human
D3-13	AI
D3-14	AI
D3-15	AI
D3-16	Human
D3-17	AI
D3-18	AI
D3-19	AI
D3-20	AI
D3-21	Human
D3-22	AI
D3-23	AI
D3-24	Human
D3-25	AI
D3-26	AI
D3-27	AI
D3-28	Human
D3-29	AI
D3-30	Human
D3-31	AI
D3-32	AI
D3-33	AI
D3-34	AI
D3-35	AI
D3-36	AI
D3-37	Human
D3-38	AI
D3-39	AI
D3-40	Human
D3-41	AI
D3-42	AI
D3-43	AI
D3-44	AI
D3-45	AI
D3-46	Human
D3-47	AI
D3-48	Human
D3-49	AI
D3-50	Human
