ID	Label
D1-00007	AI
D1-00009	AI
D1-00024	AI
D1-00032	Human
D1-00034	AI
D1-00038	AI
D1-00048	AI
D1-00060	AI
D1-00063	AI
D1-00071	AI
D1-00072	AI
D1-00076	AI
D1-00077	AI
D1-00080	AI
D1-00091	AI
D1-00092	AI
D1-00093	AI
D1-00094	AI
D1-00100	AI
D1-00110	AI
D1-00114	AI
D1-00123	AI
D1-00135	AI
D1-00136	AI
D1-00143	AI
D1-00152	AI
D1-00184	AI
D1-00192	AI
D1-00196	Human
D1-00209	Human
D1-00220	AI
D1-00223	AI
D1-00230	AI
D1-00252	AI
D1-00258	AI
D1-00265	AI
D1-00267	AI
D1-00271	AI
D1-00273	AI
D1-00289	AI
D1-00290	AI
D1-00294	AI
D1-00297	AI
D1-00299	AI
D1-00326	AI
D1-00340	AI
D1-00352	Human
D1-00354	AI
D1-00355	AI
D1-00381	AI
D1-00383	AI
D1-00384	AI
D1-00387	AI
D1-00394	AI
D1-00398	AI
D1-00409	AI
D1-00411	AI
D1-00424	AI
D1-00430	AI
D1-00433	AI
D1-00437	AI
D1-00444	AI
D1-00450	AI
D1-00452	AI
D1-00463	AI
D1-00472	AI
D1-00477	AI
D1-00484	AI
D1-00485	AI
D1-00491	AI
D1-00502	AI
D1-00518	AI
D1-00531	AI
D1-00534	AI
D1-00554	AI
D1-00556	AI
D1-00571	AI
D1-00583	AI
D1-00585	Human
D1-00586	AI
D1-00616	AI
D1-00619	AI
D1-00625	AI
D1-00627	AI
D1-00654	AI
D1-00659	AI
D1-00661	AI
D1-00665	AI
D1-00670	AI
D1-00677	AI
D1-00680	AI
D1-00682	AI
D1-00694	AI
D1-00711	AI
D1-00712	AI
D1-00735	AI
D1-00737	AI
D1-00738	AI
D1-00740	AI
D1-00752	AI
D1-00753	AI
D1-00758	AI
D1-00764	AI
D1-00766	Human
D1-00778	AI
D1-00790	AI
D1-00801	AI
D1-00803	AI
D1-00808	AI
D1-00811	AI
D1-00817	AI
D1-00829	Human
D1-00830	AI
D1-00848	AI
D1-00860	AI
D1-00867	Human
D1-00874	AI
D1-00880	AI
D1-00881	AI
D1-00897	AI
D1-00908	AI
D1-00912	AI
D1-00916	AI
D1-00924	AI
D1-00942	AI
D1-00943	AI
D1-00949	AI
D1-00950	AI
D1-00970	AI
D1-00977	AI
D1-00979	AI
D1-00980	Human
D1-00997	AI
D1-01002	AI
D1-01003	AI
D1-01004	AI
D1-01021	AI
D1-01024	AI
D1-01026	Human
D1-01034	AI
D1-01035	AI
D1-01076	AI
D1-01079	AI
D1-01093	AI
D1-01107	Human
D1-01111	AI
D1-01115	AI
D1-01118	AI
D1-01131	AI
D1-01138	AI
D1-01143	AI
D1-01144	AI
D1-01152	Human
D1-01159	AI
D1-01173	AI
D1-01175	AI
D1-01177	AI
D1-01179	Human
D1-01181	AI
D1-01184	AI
D1-01188	AI
D1-01202	AI
D1-01204	AI
D1-01207	AI
D1-01208	AI
D1-01217	Human
D1-01224	AI
D1-01226	AI
D1-01228	AI
D1-01232	AI
D1-01235	AI
D1-01238	AI
D1-01264	AI
D1-01269	AI
D1-01282	Human
D1-01288	AI
D1-01310	AI
D1-01320	AI
D1-01321	AI
D1-01323	Human
D1-01331	AI
D1-01340	AI
D1-01355	AI
D1-01362	AI
D1-01363	AI
D1-01376	AI
D1-01382	AI
D1-01393	AI
D1-01403	AI
D1-01416	Human
D1-01417	AI
D1-01428	AI
D1-01432	AI
D1-01457	Human
D1-01469	AI
D1-01470	AI
D1-01473	Human
D1-01477	Human
D1-01480	AI
D1-01484	AI
D1-01489	AI
D1-01492	AI
D1-01493	AI
D1-01497	AI
D1-01502	AI
D1-01512	Human
D1-01518	AI
D1-01520	AI
D1-01521	AI
D1-01527	AI
D1-01533	AI
D1-01535	AI
D1-01539	AI
D1-01540	AI
D1-01555	AI
D1-01557	AI
D1-01559	AI
D1-01566	AI
D1-01567	AI
D1-01573	AI
D1-01579	AI
D1-01581	AI
D1-01610	Human
D1-01617	AI
D1-01621	AI
D1-01630	AI
D1-01648	AI
D1-01666	Human
D1-01667	AI
D1-01702	AI
D1-01703	AI
D1-01704	AI
D1-01706	AI
D1-01718	Human
D1-01729	AI
D1-01731	Human
D1-01732	AI
D1-01739	AI
D1-01744	AI
D1-01756	AI
D1-01771	Human
D1-01777	AI
D1-01778	Human
D1-01796	AI
D1-01802	AI
D1-01809	AI
D1-01812	AI
D1-01814	AI
D1-01815	AI
D1-01819	AI
D1-01822	AI
D1-01823	AI
D1-01832	AI
D1-01836	AI
D1-01837	AI
D1-01838	AI
D1-01851	AI
D1-01874	AI
D1-01875	AI
D1-01890	AI
D1-01893	AI
D1-01895	AI
D1-01897	Human
D1-01899	AI
D1-01913	AI
D1-01916	AI
D1-01919	AI
D1-01922	AI
D1-01923	AI
D1-01933	AI
D1-01957	AI
D1-01964	AI
D1-02000	AI
D1-02003	Human
D1-02004	Human
D1-02012	AI
D1-02037	AI
D1-02069	AI
D1-02074	AI
D1-02078	AI
D1-02094	AI
D1-02096	AI
D1-02111	AI
D1-02118	AI
D1-02119	AI
D1-02133	Human
D1-02134	AI
D1-02145	AI
D1-02147	AI
D1-02165	AI
D1-02179	Human
D1-02188	AI
D1-02196	AI
D1-02200	AI
D1-02221	Human
D1-02222	AI
D1-02224	AI
D1-02225	AI
D1-02227	AI
D1-02232	AI
D1-02240	AI
D1-02241	AI
D1-02246	AI
D1-02250	AI
D1-02259	AI
D1-02278	Human
D1-02298	AI
D1-02302	Human
D1-02307	AI
D1-02311	AI
D1-02339	AI
D1-02346	AI
D1-02358	AI
D1-02370	AI
D1-02375	AI
D1-02378	AI
D1-02413	AI
D1-02430	AI
D1-02433	AI
D1-02440	AI
D1-02441	AI
D1-02471	AI
D1-02488	AI
D1-02489	AI
D1-02496	AI
D1-02500	AI
D1-02510	AI
D1-02513	AI
D1-02526	Human
D1-02529	AI
D1-02536	AI
D1-02549	AI
D1-02560	AI
D1-02575	AI
D1-02601	AI
D1-02618	AI
D1-02620	AI
D1-02621	Human
D1-02647	AI
D1-02652	AI
D1-02654	AI
D1-02663	AI
D1-02688	Human
D1-02689	Human
D1-02703	AI
D1-02750	AI
D1-02765	AI
D1-02777	AI
D1-02781	AI
D1-02782	AI
D1-02785	AI
D1-02788	Human
D1-02800	AI
D1-02803	AI
D1-02813	AI
D1-02836	AI
D1-02841	AI
D1-02842	AI
D1-02851	AI
D1-02852	AI
D1-02856	AI
D1-02860	AI
D1-02865	AI
D1-02869	AI
D1-02877	AI
D1-02886	AI
D1-02894	AI
D1-02907	AI
